,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,sleep_cycle,efficiency,sleep_score,sleep_duration,start_time,update_time,create_time,time_offset,end_time
3,69,2023-12-19 09:43:00,18,2023-12-19 00:50:00,5,90,85,514,2023-12-19 00:50:00,2023-12-26 11:16:17.810,2023-12-19 09:43:28.071,UTC-0300,2023-12-19 09:24:00
4,63,2023-12-20 08:37:00,38,2023-12-20 00:51:00,4,82,82,443,2023-12-20 00:51:00,2023-12-26 11:16:17.856,2023-12-20 09:02:01.179,UTC-0300,2023-12-20 08:14:00
5,55,,34,,4,88,47,406,2023-12-21 00:54:00,2023-12-26 11:16:17.906,2023-12-21 07:40:26.713,UTC-0300,2023-12-21 07:40:00
6,65,2023-12-22 08:09:00,18,2023-12-22 00:03:00,5,90,81,481,2023-12-22 00:03:00,2023-12-26 11:16:17.958,2023-12-22 08:09:35.799,UTC-0300,2023-12-22 08:04:00
7,58,2023-12-23 10:32:00,19,2023-12-23 03:04:00,5,91,84,443,2023-12-23 03:04:00,2023-12-26 11:16:18.007,2023-12-23 10:33:00.366,UTC-0300,2023-12-23 10:27:00
0,59,,17,,4,88,53,371,2023-12-24 04:03:00,2023-12-26 11:16:18.057,2023-12-24 10:14:40.390,UTC-0300,2023-12-24 10:14:00
1,9,,20,,1,88,38,93,2023-12-24 10:25:00,2023-12-26 11:16:18.100,2023-12-24 11:58:55.540,UTC-0300,2023-12-24 11:58:00
2,42,,23,,3,88,55,315,2023-12-25 05:49:00,2023-12-26 11:16:18.163,2023-12-25 11:04:20.924,UTC-0300,2023-12-25 11:04:00
8,34,2023-12-25 12:45:00,6,2023-12-25 11:15:00,0,89,45,84,2023-12-25 11:15:00,2023-12-26 11:16:18.208,2023-12-25 13:11:59.211,UTC-0300,2023-12-25 12:39:00
9,75,2023-12-26 07:32:00,47,2023-12-25 22:46:00,4,76,82,522,2023-12-25 22:46:00,2023-12-26 11:16:18.240,2023-12-26 07:32:59.353,UTC-0300,2023-12-26 07:28:00
10,75,2023-12-27 08:19:00,38,2023-12-26 23:52:00,3,83,84,498,2023-12-26 23:52:00,2023-12-27 09:50:55.048,2023-12-27 08:19:08.315,UTC-0300,2023-12-27 08:10:00
11,40,2023-12-27 09:44:00,41,2023-12-27 08:35:00,0,77,40,58,2023-12-27 08:35:00,2023-12-27 10:10:08.556,2023-12-27 10:10:04.189,UTC-0300,2023-12-27 09:33:00
12,46,,21,,5,91,46,361,2023-12-29 02:11:00,2023-12-29 09:33:14.946,2023-12-29 08:12:50.067,UTC-0300,2023-12-29 08:12:00
13,63,,13,,3,91,61,353,2023-12-30 02:08:00,2023-12-30 08:01:42.163,2023-12-30 08:01:33.606,UTC-0300,2023-12-30 08:01:00
14,55,,35,,4,85,50,418,2023-12-31 01:49:00,2023-12-31 08:56:17.439,2023-12-31 08:47:01.476,UTC-0300,2023-12-31 08:47:00
15,42,2024-01-01 08:35:00,24,2024-01-01 02:04:00,4,89,68,386,2024-01-01 02:04:00,2024-01-01 08:44:20.106,2024-01-01 08:35:41.539,UTC-0300,2024-01-01 08:30:00
16,53,,31,,4,88,82,429,2024-01-02 01:01:00,2024-01-02 10:01:05.633,2024-01-02 08:10:09.348,UTC-0300,2024-01-02 08:10:00
