physical_recovery,movement_awakening,sleep_cycle,efficiency,sleep_score,sleep_duration,start_time,time_offset,end_time
59,17,4,88,53,371,2023-12-24 07:03:00.000,UTC-0300,2023-12-24 13:14:00.000
9,20,1,88,38,93,2023-12-24 13:25:00.000,UTC-0300,2023-12-24 14:58:00.000
42,23,3,88,55,315,2023-12-25 08:49:00.000,UTC-0300,2023-12-25 14:04:00.000
69,18,5,90,85,514,2023-12-19 03:50:00.000,UTC-0300,2023-12-19 12:24:00.000
63,38,4,82,82,443,2023-12-20 03:51:00.000,UTC-0300,2023-12-20 11:14:00.000
55,34,4,88,47,406,2023-12-21 03:54:00.000,UTC-0300,2023-12-21 10:40:00.000
65,18,5,90,81,481,2023-12-22 03:03:00.000,UTC-0300,2023-12-22 11:04:00.000
58,19,5,91,84,443,2023-12-23 06:04:00.000,UTC-0300,2023-12-23 13:27:00.000
34,6,0,89,45,84,2023-12-25 14:15:00.000,UTC-0300,2023-12-25 15:39:00.000
75,47,4,76,82,522,2023-12-26 01:46:00.000,UTC-0300,2023-12-26 10:28:00.000
75,38,3,83,84,498,2023-12-27 02:52:00.000,UTC-0300,2023-12-27 11:10:00.000
40,41,0,77,40,58,2023-12-27 11:35:00.000,UTC-0300,2023-12-27 12:33:00.000
46,21,5,91,46,361,2023-12-29 05:11:00.000,UTC-0300,2023-12-29 11:12:00.000
63,13,3,91,61,353,2023-12-30 05:08:00.000,UTC-0300,2023-12-30 11:01:00.000
55,35,4,85,50,418,2023-12-31 04:49:00.000,UTC-0300,2023-12-31 11:47:00.000
42,24,4,89,68,386,2024-01-01 05:04:00.000,UTC-0300,2024-01-01 11:30:00.000
53,31,4,88,82,429,2024-01-02 04:01:00.000,UTC-0300,2024-01-02 11:10:00.000
61,22,3,87,82,420,2024-01-03 04:55:00.000,UTC-0300,2024-01-03 11:55:00.000
50,10,3,95,70,306,2024-01-04 05:42:00.000,UTC-0300,2024-01-04 10:48:00.000
30,31,2,87,50,179,2024-01-05 04:53:00.000,UTC-0300,2024-01-05 07:52:00.000
34,15,2,92,53,197,2024-01-05 09:01:00.000,UTC-0300,2024-01-05 12:18:00.000
59,16,3,92,85,410,2024-01-06 06:00:00.000,UTC-0300,2024-01-06 12:50:00.000
43,17,3,89,72,365,2024-01-07 04:23:00.000,UTC-0300,2024-01-07 10:28:00.000
58,25,5,88,82,451,2024-01-08 02:26:00.000,UTC-0300,2024-01-08 09:57:00.000
67,21,3,88,77,361,2024-01-09 04:29:00.000,UTC-0300,2024-01-09 10:30:00.000
68,22,5,90,83,487,2024-01-10 03:00:00.000,UTC-0300,2024-01-10 11:07:00.000
53,23,3,88,74,408,2024-01-11 03:46:00.000,UTC-0300,2024-01-11 10:34:00.000
70,31,6,87,78,497,2024-01-12 04:02:00.000,UTC-0300,2024-01-12 12:19:00.000
53,21,3,90,81,415,2024-01-13 05:41:00.000,UTC-0300,2024-01-13 12:36:00.000
63,28,4,87,78,500,2024-01-16 02:16:00.000,UTC-0300,2024-01-16 10:36:00.000
11,27,1,87,47,99,2024-01-14 04:42:00.000,UTC-0300,2024-01-14 06:21:00.000
44,30,4,83,62,368,2024-01-14 06:43:00.000,UTC-0300,2024-01-14 12:51:00.000
47,26,3,85,66,326,2024-01-15 03:01:00.000,UTC-0300,2024-01-15 08:27:00.000
68,48,2,74,82,415,2024-01-17 03:25:00.000,UTC-0300,2024-01-17 10:20:00.000
67,53,5,84,77,521,2024-01-19 02:31:00.000,UTC-0300,2024-01-19 11:12:00.000
55,21,4,89,72,369,2024-01-18 02:21:00.000,UTC-0300,2024-01-18 08:30:00.000
57,29,3,83,77,438,2024-01-20 06:38:00.000,UTC-0300,2024-01-20 13:56:00.000
79,2,4,98,97,441,2024-01-21 04:37:00.000,UTC-0300,2024-01-21 11:58:00.000
64,21,3,89,82,401,2024-01-22 03:47:00.000,UTC-0300,2024-01-22 10:28:00.000
61,11,4,92,86,407,2024-01-23 04:05:00.000,UTC-0300,2024-01-23 10:52:00.000
62,30,5,88,76,473,2024-01-26 03:20:00.000,UTC-0300,2024-01-26 11:13:00.000
73,37,2,83,82,499,2024-01-24 03:49:00.000,UTC-0300,2024-01-24 12:08:00.000
79,20,4,89,85,508,2024-01-25 03:49:00.000,UTC-0300,2024-01-25 12:17:00.000
77,37,4,82,82,438,2024-01-27 04:51:00.000,UTC-0300,2024-01-27 12:09:00.000
60,19,3,89,79,369,2024-01-28 10:36:00.000,UTC-0300,2024-01-28 16:45:00.000
57,28,3,89,70,346,2024-01-29 03:29:00.000,UTC-0300,2024-01-29 09:15:00.000
63,18,4,89,82,426,2024-01-30 03:08:00.000,UTC-0300,2024-01-30 10:14:00.000
48,9,2,94,64,210,2024-01-31 06:00:00.000,UTC-0300,2024-01-31 09:30:00.000
64,19,4,91,85,504,2024-02-01 01:11:00.000,UTC-0300,2024-02-01 09:35:00.000
93,2,4,98,83,619,2024-02-02 03:47:00.000,UTC-0300,2024-02-02 14:06:00.000
80,21,5,88,85,466,2024-02-03 03:32:00.000,UTC-0300,2024-02-03 11:18:00.000
55,42,3,85,72,357,2024-02-04 05:55:00.000,UTC-0300,2024-02-04 11:52:00.000
